Counterspell,Tempest,1,0,0.00
Cradle Guard,Urza's Saga,1,0,0.00
Crash of Rhinos,Mirage,6,0,0.00
Crashing Boars,Exodus,2,0,0.00
Crater Hellion,Urza's Saga,1,0,0.00
Craven Giant,Portal,1,0,0.00
Craven Giant,Stronghold,8,0,0.00
Craven Knight,Portal,3,0,0.00
Craw Wurm,Fourth Edition,3,0,0.00
Crazed Armodon,Tempest,1,0,0.00
Crazed Skirge,Urza's Saga,1,0,0.00
Crimson Hellkite,Mirage,1,0,0.00
Crimson Roc,Mirage,3,0,0.00
Crossbow Ambush,Stronghold,7,0,0.00
Crosswinds,Urza's Saga,1,0,0.00
Crovax the Cursed,Stronghold,1,0,0.00
Crown of Flames,Tempest,1,0,0.00
Cruel Fate,Portal,1,0,0.00
Cruel Tutor,Portal,1,0,0.00
Crypt Cobra,Mirage,1,0,0.00
Crystal Chimes,Urza's Saga,1,0,0.00
Crystal Golem,Mirage,2,0,0.00
Crystal Rod,Fourth Edition,1,0,0.00
Crystal Vein,Mirage,1,0,0.00
Crystalline Sliver,Stronghold,1,0,0.00
Culling the Weak,Exodus,6,0,0.00
Cunning,Exodus,5,0,0.00
Curfew,Urza's Saga,4,0,0.00
Curiosity,Exodus,1,0,0.00
Cursed Flesh,Exodus,7,0,0.00
Cursed Scroll,Tempest,1,0,0.00
Cursed Totem,Mirage,1,0,0.00
Cycle of Life,Mirage,1,0,0.00
Cyclopean Mummy,Fourth Edition,1,0,0.00
Daring Apprentice,Mirage,1,0,0.00
Dark Banishing,Mirage,4,0,0.00
Dark Banishing,Ninth Edition,8,0,0.00
Dark Banishing,Tempest,1,0,0.00
Dark Hatchling,Urza's Saga,1,0,0.00
Dark Maze (A),Homelands,1,0,0.00
Dark Privilege,Visions,13,0,0.00
Dark Ritual,Fourth Edition,1,0,0.00
Dark Ritual,Mirage,3,0,0.00
Dark Ritual,Tempest,3,0,0.00
Dark Ritual,Urza's Saga,1,0,0.00
Darkest Hour,Urza's Saga,1,0,0.00
Darkling Stalker,Tempest,1,0,0.00
Dauthi Cutthroat,Exodus,1,0,0.00
Dauthi Embrace,Tempest,1,0,0.00
Dauthi Ghoul,Tempest,1,0,0.00
Dauthi Horror,Tempest,4,0,0.00
Dauthi Jackal,Exodus,7,0,0.00
Dauthi Marauder,Tempest,1,0,0.00
Dauthi Mercenary,Tempest,1,0,0.00
Dauthi Mindripper,Tempest,1,0,0.00
Dauthi Slayer,Tempest,1,0,0.00
Dauthi Trapper,Stronghold,1,0,0.00
Dauthi Warlord,Exodus,1,0,0.00
Dazzling Beauty,Mirage,4,0,0.00
Deadshot,Tempest,1,0,0.00
Death Pits of Rath,Tempest,1,0,0.00
Death Stroke,Stronghold,4,0,0.00
Death Ward,Fifth Edition,1,0,0.00
Death Ward,Fourth Edition,2,0,0.00
Death Ward,Revised Edition,1,0,0.00
Death Watch,Visions,1,0,0.00
Death's Duet,Exodus,7,0,0.00
Death's-Head Buzzard,Scourge,4,0,0.00
Deathgrip,Fourth Edition,1,0,0.00
Decomposition,Mirage,1,0,0.00
Deep Wood,Portal,2,0,0.00
Deep-Sea Serpent,Portal,3,0,0.00
Defensive Formation,Urza's Saga,1,0,0.00
Defiant Stand,Portal,3,0,0.00
Deja Vu,Portal,5,0,0.00
Delirium,Mirage,1,0,0.00
Despondency,Urza's Saga,4,0,0.00
Destructive Urge,Urza's Saga,1,0,0.00
Devoted Hero,Portal,5,0,0.00
Diabolic Edict,Tempest,1,0,0.00
Diabolic Machine,Fourth Edition,2,0,0.00
Diabolic Servitude,Urza's Saga,1,0,0.00
Dirtcowl Wurm,Tempest,1,0,0.00
Dirtwater Wraith,Mirage,8,0,0.00
Disciple of Grace,Urza's Saga,1,0,0.00
Disciple of Law,Urza's Saga,4,0,0.00
Discordant Dirge,Urza's Saga,1,0,0.00
Discordant Spirit,Mirage,1,0,0.00
Disempower,Mirage,4,0,0.00
Disenchant,Mirage,4,0,0.00
Disenchant,Tempest,1,0,0.00
Disenchant,Urza's Saga,4,0,0.00
Disintegrate,Revised Edition,1,0,0.00
Dismiss,Tempest,1,0,0.00
Disorder,Urza's Saga,1,0,0.00
Disrupt,Weatherlight,6,0,0.00
Disruptive Student,Urza's Saga,3,0,0.00
Dissipate,Mirage,1,0,0.00
Disturbed Burial,Tempest,1,0,0.00
Divine Offering,Mirage,4,0,0.00
Divine Retribution,Mirage,1,0,0.00
Dizzying Gaze,Exodus,8,0,0.00
Dominating Licid,Exodus,1,0,0.00
Douse,Urza's Saga,1,0,0.00
Dracoplasm,Tempest,1,0,0.00
Dragon Blood,Urza's Saga,1,0,0.00
Dragon Whelp,Revised Edition,1,0,0.00
Drain Life,Fourth Edition,1,0,0.00
Drain Life,Mirage,1,0,0.00
Drain Life,Revised Edition,1,0,0.00
Dread Charge,Portal,1,0,0.00
Dread of Night,Tempest,1,0,0.00
Dread Reaper,Portal,1,0,0.00
Dread Specter,Mirage,1,0,0.00
Dream Cache,Mirage,1,0,0.00
Dream Cache,Tempest,4,0,0.00
Dream Fighter,Mirage,5,0,0.00
Dream Halls,Stronghold,1,0,0.00
Dream Prowler,Stronghold,9,0,0.00
Dregs of Sorrow,Tempest,1,0,0.00
Drifting Djinn,Urza's Saga,1,0,0.00
Drifting Meadow,Urza's Saga,3,0,0.00
Dromosaur,Urza's Saga,5,0,0.00
Dry Spell,Portal,1,0,0.00
